question;answer
Процедура ухода в академ отпуск / отчисления;"Пожалуйста, имейте в виду, что при уходе в академический отпуск или отчислении
доступ к материалам программы вам закрывается.
1. Если вы не должны по контракту университету за обучение и уходите в
академический отпуск /отчисляетесь:
Если вы хотите уйти в академический отпуск/отчислиться по собственному
желанию, вы пишете на почту заместителю начальника отдела по воспитательной
работе в Отдел организации учебной и воспитательной работы a.a.danilova@urfu.ru
Анне Андреевне ДАНИЛОВОЙ
Указываете дату + 4-5 дней к дате обращения в заявлении, форму которого она вам
вышлет.
Если отчисляетесь: деканат запрашивает у Ведущего экономиста отдела
обеспечения деятельности заявление на возврат средств и пересылает вам (там вы
указывает реквизиты вашей карточки) - заявление 2 на возврат средств,
оплаченных за обучение в текущем семестре. Средства вернут за вычетом уже
понесенных исполнителем фактических расходов.
Если вы уходите в академ отпуск, возврат внесенных средств невозможен, так как
договор еще действующий, поэтому важно то, насколько вы уходите в
академический отпуск и если вы не восстанавливаетесь в период ""до..."", указанный
вами в заявлении, вуз отчисляет вас совсем.
2. Если вы должны университету за обучение и уходите в академический отпуск /
отчисляетесь:
Если вы хотите уйти в академический отпуск или отчислиться по собственному
желанию, вы пишете на почту заместителю начальника отдела по воспитательной
работе в Отдел организации учебной и воспитательной работы
a.a.danilova@urfu.ru Анне Андреевне ДАНИЛОВОЙ
Указываете дату + 4-5 дней к дате обращения в заявлении, форму которого она вам
вышлет.
У ведущего экономиста отдела обеспечения деятельности запрашивается счет с
суммой долга, который за вами остался до даты, указанной в заявлении. Счёт
высылается вам и вы его оплачиваете. После этого ваше заявление принимается.
Отчисление с долгом лишает вас права на восстановление!
В каждом обращении пишите ФИО, номер контракта, группу (в ЛК студента указана
ваша группа) и причину ухода в академ: ""по семейным обстоятельствам."""
Соотношение ответственности заказчика и исполнителя при изменении статуса студента;"Расчет стоимости программы выполнен по семестрам. Если сдана сессия (ваше
обязательство) в полном объеме зачетных единиц, то после восстановления не
начисляется еще раз стоимость за прошедшие семестры (так как все сдано).
Учитывайте это, когда принимаете решение уйди в академ отпуск или отчислиться,
равно как и ваши академические и финансовые долги.
2. При восстановлении из академического отпуска составляется новый договор.
Сумма нового договора определяется для того года набора, в котором вы
восстанавливаетесь. Если у вас есть остаток средств по старому договору,
вам по заявлению сделают перерасчет."
Как выполнить и сдать домашнее задание?;"Отправить домашнее задание можно в личном кабинете в разделе «Практика».
В описании заданий указаны: ожидаемый результат (что  именно  нужно  сделать),
формат работы и срок отправки (дата указана включительно  до  23:59 по  МСК).
Выполненное задание отправляется на проверку двумя способами: прикрепленным
файлом или ссылкой.
В зависимости от дисциплины, домашние задания могут выполняться в разных
инструментах (например, в Miro, Figma или Яндекс Документах). Информацию о том,
где и как нужно выполнять домашние задания, можно найти в силлабусе дисциплины,
описании самого задания, а также можно уточнить на вводном занятии у
преподавателя."
Как выполнять групповое задание?;"Для выполнения группового задания студенты распределяются по группам, и могут
приступать к выполнению задания только после того как группа сформирована.
Каждый участник группы должен прикрепить результат выполненного задания в личном
кабинете."
«Дедлайн до 28.10» – что это значит?;"Чтобы своевременно сдать домашнее задание, вам необходимо загрузить ссылку на
задание или ссылку на него до 28.10 23:59 по мск."
Что делать, если возник вопрос по лекции или заданию?;"Будьте активными на занятии и пишите/задавайте преподавателям вопросы,
даже если они покажутся вам глупыми, «не отходя от кассы». Преподаватель
оперативно даст комментарий, либо посвятит время этому вопросу на занятии или
же после занятия даст вам дополнительные материалы, которые помогут
разобраться. Как правило, общение с экспертами (преподавателями) проходит на
вебинарах и в канале дисциплины в Telegram.
2. Если что-то  по  домашнему заданию непонятно, сначала внимательно прочтите
задание и критерии его  выполнения. Если что-то  всё ещё непонятно, напишите
координатору.
3. Задать вопрос лучше всего в канале дисциплины в Telegram так как:
● вопрос увидят все участники группы;
● ответить смогут и одногруппники;
● ответы на ваши вопросы помогут одногруппникам, у которых может возникнуть
подобная проблема."
Какой срок проверки выполненных заданий?;"В течение 2-х недель после сдачи домашнего  задания. Просим вас ответственно 
относиться к обозначенным дедлайнам и сдавать домашние задания вовремя.
Когда домашнее задание будет проверено, вам придёт письмо  на почту. Также
комментарий проверяющего  будет доступен в личном кабинете в разделе
«Практические занятия»."
Где найти отзыв проверяющего на мою домашнюю работу?;"Перейдите в задание по  нужной вам теме. Под  ссылкой на ваш ответ вы найдете
комментарий проверяющего, если ваша работа уже проверена."
Информация по практике;"Производственная практика проходит в четвертом семестре (01.02.2026-28.04.2026) и
является обязательной. Проходить производственную практику можно  по  месту
работы (по  желанию) или в компаниях-партнерах Нетологии (здесь возможны
варианты онлайн, гибрид, офлайн). При желании вы также сами можете найти себе
место практики.
Перед началом практики мы проведём опрос, чтобы определить количество студентов,
которых нужно вывести в компании индустриальных партнеров.
Затем предоставим студентам на выбор несколько  компаний для прохождения
практики. Далее предоставим студентам форму обратной связи, где они будут
оставлять отклики и резюме в выбранные компании, а менеджер по  работе с
индустриальными партнерами (МИП) передаст информацию в компанию. Компания
самостоятельно  связывается со  студентом. Возможно, даст тестовое задание и
проведёт интервью. Затем партнер передает МИПу информацию о  кандидатах,
которые подходят для решения задач компании, и заключается договор между
компанией и вузом о прохождении производственной практики.
По  итогам практики вам необходимо  будет написать отчет о  практике. Куратор
практики от компании должен подписать отчет и составить отзыв о работе студента.
Эти документы предоставляются в вуз"
Информация по стажировке;"Периодически, по мере поступления предложений от индустриальных партнёров (ИП),
в ваш студенческий чат в Телеграме будет публиковаться информация о 
стажировочных вакансиях. При наличии желания и временных ресурсов вы можете
откликнуться на предложение и пройти стажировку в компании. Стажировка может
быть разного формата (онлайн, офлайн, гибрид) и может быть оплачиваемой или нет -
условия стажировки обозначает ИП. Студент может оставлять отклики, если его 
устраивают предлагаемые условия стажировки."
Когда сессия?;"Вы учитесь семестрами. Сдача зачетов и экзаменов проходит в сессию в конце
семестра.
Даты зачётов и экзаменов будут указаны в таблице с расписанием."
"Как проходят пересдачи?
Сколько раз можно сдавать предмет?";"На каждую из дисциплин у вас есть три попытки. Первая – сдача зачета или экзамена в
сроки, установленные преподавателем для всех студентов. Вторая и третья попытки –
в рамках дополнительной сессии, сроки которой назначает университет. Важно:
параллельно  с дополнительной сессией будут идти другие, новые курсы, поэтому,
пожалуйста, не оставляйте долгов в текущем семестре, чтобы не осложнять себе
жизнь в следующем."
Как получить доступ к зачету/экзамену по дисциплине?;"На старте дисциплины вам обязательно  расскажут об условиях получения зачёта.
Подробное описание условий вы сможете найти в силлабусе дисциплины, а также
узнать у преподавателя на вводном занятии."
Выпускная Квалификационная Работа (ВКР);"Завершающим итогом вашего обучения является написание ВКР. Каждому из вас будет
выделен научный руководитель, под руководством которого вы будете писать ВКР.
Ключевая задача ВКР – удостовериться, что  полученные знания и навыки хорошо 
усвоены и могут быть применены на реальных задачах.
В УрФУ возможны несколько  вариантов написания ВКР - ВКР как старт-ап, проектноориентированная или научно-ориентированная. С каждым из вас это  обсудят в ходе
учёбы на втором курсе."
Какой документ можно получить после обучения на магистерской программе?;"Всем магистрантам, успешно прошедшим финальные испытания будет выдаваться
диплом государственного образца очной магистратуры Уральского Федерального 
Государственного Университета по направлению 09.04.02 «Информационные системы
и технологии» (в приложении к диплому будет указан профиль образовательной
программы - «Прикладной Искусственный Интеллект»). Диплом будет абсолютно 
идентичен тем дипломам, которые получают студенты, проходящие офлайн-очное
обучение в стенах Финансового Университета при Правительстве Российской
Федерации.
Также при успешном завершении обучения вы получаете диплом о профессиональной
переподготовке от Нетологии по направлению «Машинное обучение и управление
большими данными»."
